date,regime,market_return,standardized_market_return
2013-02-22,0,0.004891576297697686,0.7732549382854073
2013-02-25,0,-0.006512502810562681,-1.1244441136823375
2013-02-26,0,-0.00017033072603381827,-0.06907315054082724
2013-02-27,0,0.005729455241696091,0.9126824240644025
2013-02-28,0,0.0020494999886265576,0.3003184156478505
2013-03-01,0,0.0004238116807079084,0.02979528691072632
2013-03-04,0,0.0009181829266341257,0.11206127575630949
2013-03-05,0,0.006374999923336522,1.0201044718003325
2013-03-06,0,0.0012327759188344833,0.1644112127733094
2013-03-07,0,6.089458657736469e-05,-0.03059603613574107
2013-03-08,0,0.002538398091151284,0.38167364449732233
2013-03-11,0,0.0011009873946708048,0.14248090564447788
2013-03-12,0,-0.0010973215712676398,-0.2233293277808456
2013-03-13,0,-0.0004209570140568775,-0.11077868981887831
2013-03-14,0,0.003658526020339803,0.5680688535382656
2013-03-15,0,0.0001635914244950465,-0.013506739393200407
2013-03-18,0,-0.004618590662252464,-0.8092871199225186
2013-03-19,0,-0.0024990787327364037,-0.45658912992317363
2013-03-20,0,0.0034378121243753613,0.5313408944324364
2013-03-21,0,-0.003468386475991447,-0.6178870627047615
2013-03-22,0,0.0013670584027133947,0.1867565279832244
2013-03-25,0,-0.00019991040850243503,-0.0739953660783836
2013-03-26,0,0.00345562258553197,0.534304649324975
2013-03-27,0,0.00013781731908140137,-0.017795686790396448
2013-03-28,0,0.0021415875255349826,0.3156422686157401
2013-03-29,0,0.00020431171263609604,-0.006730668176266258
2013-04-01,0,-0.0029518888295340107,-0.5319391238382302
2013-04-02,0,0.000979111005062483,0.12220003010675591
2013-04-03,0,-0.004271562676722606,-0.751539828545938
2013-04-04,0,0.0024208083239866895,0.3621060855957251
2013-04-05,0,-0.0003376503889382376,-0.09691602699362972
2013-04-08,0,0.004240891942275849,0.6649776216610556
2013-04-09,0,0.0018062917612878926,0.2598472808837086
2013-04-10,0,0.007292661038441672,1.1728081326247577
2013-04-11,0,0.003799400520126772,0.5915111150443718
2013-04-12,0,-0.001791513253466659,-0.3388464935850321
2013-04-15,0,-0.013460180071894557,-2.28057433928357
2013-04-16,0,0.0059039877581813175,0.9417255574842375
2013-04-17,0,-0.007729973535834367,-1.3270376786000924
2013-04-18,0,-0.002521979689773024,-0.46039997024136026
2013-04-19,0,0.006460800623062757,1.0343821618253608
2013-04-22,0,0.0014255455833620645,0.19648910403917721
2013-04-23,0,0.006006365553603532,0.958761763868895
2013-04-24,0,0.003119384949757542,0.4783529291915338
2013-04-25,0,0.0030938228607508946,0.47409926244529976
2013-04-26,0,-0.001482358699077313,-0.2874015413704146
2013-04-29,0,0.0047186420078174415,0.7444777582217628
2013-04-30,0,0.004792422743170865,0.7567552626308878
2013-05-01,0,-0.005036812067938989,-0.8788813727814858
2013-05-02,0,0.004083799252572617,0.6388365676144424
2013-05-03,0,0.00491966979129802,0.7779298441384541
2013-05-06,0,0.0017355956817138752,0.24808307950349615
2013-05-07,0,0.004271752854910937,0.6701130406716134
2013-05-08,0,0.0035185851565489256,0.5447819539976323
2013-05-09,0,-0.00245324946870924,-0.44896289810988044
2013-05-10,0,1.770273863888061e-05,-0.03778338796901852
2013-05-13,0,-0.0009516828694101864,-0.19909427786396874
2013-05-14,0,0.004172952892882609,0.6536722046781309
2013-05-15,0,0.002301334314367731,0.3422249787885602
2013-05-16,0,-0.0012526349370295064,-0.24917429291711204
2013-05-17,0,0.0030659065484541005,0.4694538404978416
2013-05-20,0,0.0013314168427298822,0.18082558398070764
2013-05-21,0,0.0011558944942978377,0.15161773729211572
2013-05-22,0,-0.006810990243145731,-1.1741140004360033
2013-05-23,0,-0.00779123622996637,-1.3372321147725916
2013-05-24,0,-0.0008388716001854202,-0.18032188628137705
2013-05-27,0,-0.0003398330828269347,-0.09727923879565202
2013-05-28,0,0.001040115304890843,0.1323514681011118
2013-05-29,0,-0.0074006504368822725,-1.2722365739480042
2013-05-30,0,9.078575737487826e-05,-0.025621987293554416
2013-05-31,0,-0.007559580688124334,-1.2986834079490588
2013-06-03,0,-0.0005626267044349653,-0.13435327524316976
2013-06-04,0,-0.0022770346984216537,-0.41963982876399636
2013-06-05,0,-0.008938278140212664,-1.5281059525439358
2013-06-06,0,0.0032092497122680917,0.4933069007487858
