seed,test_start,test_end,predicted_regime,realized_dominant_regime,forecast_correct,forecast_brier,vol_bucket,bucket,n_available_regime,n_hist_regime,prefer_stress,ranking,method,n_synth_series,n_train,n_draw,n_features,used_synth_fill,sharpe,calmar,max_drawdown,VaR_5%,CVaR_5%,ann_mu,ann_sd,n_obs,status,max_weight_used,hhi
42,2018-12-26,2019-03-19,3,4,0,0.29152077112285313,high,crisis,189,189,False,random,mixed,0,252,0,10,False,4.480521776240853,14.102039997039858,-0.0030178481774839616,-0.0007107761685734419,-0.001146870948057226,0.04255781570387267,0.009498406174376096,60,ok,0.9999999814815165,0.9999999629630335
42,2018-12-26,2019-03-19,3,4,0,0.29152077112285313,high,crisis,189,189,False,random,regime,5,189,5,60,False,5.089720789229175,21.06827997555232,-0.042329315343347274,-0.010375020249724783,-0.018441602881189092,0.8918058668270828,0.17521705094596057,60,ok,0.9999999998753021,0.9999999997506042
42,2018-12-26,2019-03-19,3,4,0,0.29152077112285313,high,crisis,189,189,False,random,mixed,5,252,5,60,False,6.028379971768302,32.694130020939866,-0.027302287204810205,-0.006925573585391419,-0.01369167461015014,0.8926245277431076,0.1480703824117567,60,ok,0.9999999994970937,0.9999999989941875
42,2019-03-20,2019-06-11,0,2,0,0.17136565947541152,low,calm,553,504,False,random,regime,0,504,0,10,False,0.8609384774819131,1.5829441439385517,-0.06620875607427879,-0.013175964923889524,-0.019834801792181916,0.10480476270523562,0.12173316148184052,60,ok,0.9999999699334157,0.9999999398668323
42,2019-03-20,2019-06-11,0,2,0,0.17136565947541152,low,calm,553,504,False,random,mixed,0,252,0,10,False,1.5139096497899969,4.771273019550584,-0.04257834222406265,-0.013789544808257637,-0.019094756424992733,0.20315289547086152,0.13419089804932682,60,ok,0.9999995431022511,0.999999086204745
42,2019-03-20,2019-06-11,0,2,0,0.17136565947541152,low,calm,553,504,False,random,regime,5,504,5,60,False,0.002360915961948478,0.004616495663075131,-0.07970909684141103,-0.017432419045145513,-0.026134903126021642,0.00036797669987600963,0.1558618374422427,60,ok,0.6048537243446321,0.5219886032611329
42,2019-03-20,2019-06-11,0,2,0,0.17136565947541152,low,calm,553,504,False,random,mixed,5,252,5,60,False,0.8092765333511767,1.739593017407477,-0.06231985354150049,-0.013921540431089804,-0.021206617805064904,0.10841118206665087,0.1339606149429852,60,ok,0.9999999990410223,0.9999999980820446
42,2019-06-12,2019-09-03,2,3,0,0.39819147126570953,mid,calm,576,504,False,random,regime,0,504,0,10,False,0.04148538547980822,0.09553684224689714,-0.06617642195572992,-0.014042534730071032,-0.027534750318458298,0.00632228638484867,0.15239791824824325,60,ok,0.999999963288203,0.9999999265764076
42,2019-06-12,2019-09-03,2,3,0,0.39819147126570953,mid,calm,576,504,False,random,mixed,0,252,0,10,False,1.3794123693597677,3.638642501340747,-0.05232024719829764,-0.01535537098694012,-0.019898680493115672,0.19037467513637996,0.1380114310738995,60,ok,0.9999998631323372,0.9999997262646965
42,2019-06-12,2019-09-03,2,3,0,0.39819147126570953,mid,calm,576,504,False,random,regime,5,504,5,60,False,0.04148537482044505,0.09553681723951322,-0.06617642296789306,-0.014042534945867411,-0.027534750602840385,0.0063222848266483245,0.15239791984553896,60,ok,0.9999999990105701,0.9999999980211403
42,2019-06-12,2019-09-03,2,3,0,0.39819147126570953,mid,calm,576,504,False,random,mixed,5,252,5,60,False,0.006700125813249715,0.015487656650700583,-0.06639505496757969,-0.01400635267155848,-0.027645317197074772,0.0010283038146422663,0.1534752993158371,60,ok,0.9505932996716222,0.9060686433814651
42,2019-09-04,2019-11-26,3,0,0,0.26973198579375396,high,calm,249,249,False,random,regime,0,249,0,10,False,0.7518367715772238,1.5246253225615085,-0.005964165589102732,-0.0013001133631427896,-0.0016590942019323572,0.009093117885096003,0.012094537310299696,60,ok,0.9999998187515374,0.9999996375031341
42,2019-09-04,2019-11-26,3,0,0,0.26973198579375396,high,calm,249,249,False,random,mixed,0,252,0,10,False,0.7379531005078248,1.5243614636509935,-0.039046975288770436,-0.008763451244459953,-0.011920286045946896,0.05952170440233427,0.08065784175359413,60,ok,0.7885457724561585,0.6665173188794865
42,2019-09-04,2019-11-26,3,0,0,0.26973198579375396,high,calm,249,249,False,random,regime,5,249,5,60,False,3.161874685689148,6.858193440212922,-0.045854320520921976,-0.009043631871460856,-0.016048764145723687,0.3144778002020079,0.09945928648765083,60,ok,0.9999999986557606,0.9999999973115212
42,2019-09-04,2019-11-26,3,0,0,0.26973198579375396,high,calm,249,249,False,random,mixed,5,252,5,60,False,3.1618746853586637,6.8581934397794235,-0.04585432051596583,-0.009043631869728714,-0.01604876414560848,0.31447780014813986,0.09945928648100975,60,ok,0.9999999990046441,0.9999999980092882
42,2019-11-27,2020-02-18,0,0,1,0.011518774182602356,low,crisis,770,504,False,random,regime,0,504,0,10,False,3.3794450230675412,10.351150933320406,-0.03084317989684915,-0.008615515994463023,-0.01412447308184947,0.31926241037583925,0.09447184617492103,60,ok,0.9999999102682479,0.999999820536506
42,2019-11-27,2020-02-18,0,0,1,0.011518774182602356,low,crisis,770,504,False,random,mixed,0,252,0,10,False,3.379445053260501,10.351150111170078,-0.03084317688953231,-0.008615515396590086,-0.014124470849792443,0.31926235388892077,0.0944718286160313,60,ok,0.9999994524006849,0.9999989048017529
42,2019-11-27,2020-02-18,0,0,1,0.011518774182602356,low,crisis,770,504,False,random,regime,5,504,5,60,False,1.7229386630214703,3.536555288456559,-0.05064977199042653,-0.011434124281398967,-0.014989926884888006,0.17912571899186183,0.10396523267852958,60,ok,0.8673998902220402,0.7699653580371913
42,2019-11-27,2020-02-18,0,0,1,0.011518774182602356,low,crisis,770,504,False,random,mixed,5,252,5,60,False,1.5928704032085463,3.194612807972754,-0.05325290140756078,-0.010946887548699628,-0.015469266814943587,0.17012240089830397,0.10680241189466733,60,ok,0.9999999987263853,0.9999999974527707
42,2020-02-19,2020-05-12,0,4,0,1.1640286991104416,low,crisis,1343,504,False,random,regime,0,504,0,10,False,-0.7297369575729175,-1.351653057991476,-0.33790257870068374,-0.05302661524051412,-0.0968586577036471,-0.4567270538039846,0.6258790226591301,60,ok,0.999999556029049,0.9999991120583259
42,2020-02-19,2020-05-12,0,4,0,1.1640286991104416,low,crisis,1343,504,False,random,mixed,0,252,0,10,False,-0.7297367293260454,-1.3516527510543275,-0.3379025918097296,-0.05302661008785881,-0.09685866580805945,-0.4567269678080085,0.6258791005762072,60,ok,0.9999999393767408,0.999999878753486
42,2020-02-19,2020-05-12,0,4,0,1.1640286991104416,low,crisis,1343,504,False,random,regime,5,504,5,60,False,-1.162464051724877,-2.017553468222363,-0.40563574986500595,-0.09047043107488975,-0.11287354163786263,-0.8183918139751216,0.7040147286798099,60,ok,0.5674557933053489,0.5091005675875844
42,2020-02-19,2020-05-12,0,4,0,1.1640286991104416,low,crisis,1343,504,False,random,mixed,5,252,5,60,False,-1.119660713664633,-1.8627093485806183,-0.40338745402594944,-0.08172746379182605,-0.10591818706965217,-0.7513935817142704,0.6710904227897487,60,ok,0.9999999981051562,0.9999999962103123
42,2020-05-13,2020-08-04,1,2,0,1.5490954953530962,low,crisis,47,47,False,random,regime,0,47,0,10,False,4.030987402468865,13.83078841519682,-0.005372176679575902,-0.001320413483291058,-0.0030796493281537904,0.0743014389842689,0.01843256541530281,60,ok,0.9142267144211107,0.8431675413754294
42,2020-05-13,2020-08-04,1,2,0,1.5490954953530962,low,crisis,47,47,False,random,mixed,0,252,0,10,False,7.461785519059048,37.95666261901968,-0.003822217570521813,-0.0013681893410271001,-0.002010957064957256,0.14507862278078554,0.019442882994991306,60,ok,0.9794280142957749,0.9597024255602157
42,2020-05-13,2020-08-04,1,2,0,1.5490954953530962,low,crisis,47,47,False,random,regime,5,47,5,60,False,2.3558981863952817,6.816854131658751,-0.1173719125208399,-0.02661129428835105,-0.04772493791945687,0.8001072068083769,0.339618754082326,60,ok,0.9999999992238975,0.999999998447795
42,2020-05-13,2020-08-04,1,2,0,1.5490954953530962,low,crisis,47,47,False,random,mixed,5,252,5,60,False,2.355898185842519,6.816854130216576,-0.11737191257246382,-0.026611294302550242,-0.0477249379398239,0.8001072069910189,0.3396187542395359,60,ok,0.9999999998785996,0.9999999997571991
42,2020-08-05,2020-10-27,0,2,0,1.9714955281920798,low,calm,1939,504,False,random,regime,0,504,0,10,False,-1.083768883957996,-1.3996800622408527,-0.03385402544118532,-0.0042230841322309955,-0.006316131753919432,-0.04738480443662168,0.043722241095877586,60,ok,0.999999467426858,0.9999989348540617
42,2020-08-05,2020-10-27,0,2,0,1.9714955281920798,low,calm,1939,504,False,random,mixed,0,252,0,10,False,1.0472773634404282,1.900852760023928,-0.08081166269952456,-0.014780189988109706,-0.022250844138932874,0.15361107208451397,0.1466765896475445,60,ok,0.7051107174499234,0.5841407724250085
42,2020-08-05,2020-10-27,0,2,0,1.9714955281920798,low,calm,1939,504,False,random,regime,5,504,5,60,False,1.1258945355657117,2.642756374349566,-0.08771280008669757,-0.02192357029333092,-0.031225353872115124,0.23180356154116916,0.20588390317100014,60,ok,0.9999999869585797,0.9999999739171598
42,2020-08-05,2020-10-27,0,2,0,1.9714955281920798,low,calm,1939,504,False,random,mixed,5,252,5,60,False,1.1258945359253205,2.642756379309555,-0.08771280030604378,-0.02192357032994219,-0.031225353999124544,0.23180356255590231,0.20588390400650958,60,ok,0.9999999995430713,0.9999999990861426
42,2020-10-28,2021-01-19,0,2,0,1.969939301277859,low,calm,1992,504,False,random,regime,0,504,0,10,False,6.075937077761763,42.63813075999634,-0.019062491738019216,-0.009658995352724091,-0.015933441913411058,0.8127890153370133,0.1337717960101763,60,ok,0.8918893948859908,0.8071541247663513
42,2020-10-28,2021-01-19,0,2,0,1.969939301277859,low,calm,1992,504,False,random,mixed,0,252,0,10,False,3.43286318999201,29.38813780043249,-0.01364371206030901,-0.008976336161516258,-0.01650033172970335,0.40096329013778387,0.11680141850882124,60,ok,0.7918053608916896,0.6703006066905703
42,2020-10-28,2021-01-19,0,2,0,1.969939301277859,low,calm,1992,504,False,random,regime,5,504,5,60,False,5.763335260888311,43.56661539084048,-0.030034036739525538,-0.016374089023594104,-0.022341449787265672,1.3084813272652818,0.22703543487137062,60,ok,0.9999999993969972,0.9999999987939945
42,2020-10-28,2021-01-19,0,2,0,1.969939301277859,low,calm,1992,504,False,random,mixed,5,252,5,60,False,5.763335261326391,43.56661547757747,-0.0300340365980708,-0.016374088980804315,-0.0223414497291602,1.3084813237076396,0.22703543423682448,60,ok,0.999999994414849,0.999999988829698
42,2021-01-20,2021-04-13,0,2,0,1.9711605180350555,low,calm,2051,504,False,random,regime,0,504,0,10,False,0.7434889619747455,2.0119941942062636,-0.09552295740805106,-0.02831666708556441,-0.033986154775744494,0.1921916357184109,0.25849964901689987,60,ok,0.9999993077159526,0.9999986154325448
42,2021-01-20,2021-04-13,0,2,0,1.9711605180350555,low,calm,2051,504,False,random,mixed,0,252,0,10,False,0.36140366384773615,0.9455235595566419,-0.07580303830701285,-0.02185223201576536,-0.024696336459593144,0.07167355860525527,0.1983199557031946,60,ok,0.6438405585705623,0.5413801795754742
42,2021-01-20,2021-04-13,0,2,0,1.9711605180350555,low,calm,2051,504,False,random,regime,5,504,5,60,False,0.7434890265384845,2.0119943872442985,-0.09552300384304302,-0.0283166859957458,-0.03398617477872908,0.1921917475849181,0.2584997770306296,60,ok,0.9999999988688432,0.9999999977376863
42,2021-01-20,2021-04-13,0,2,0,1.9711605180350555,low,calm,2051,504,False,random,mixed,5,252,5,60,False,0.7434890259362417,2.0119943854793254,-0.09552300391634616,-0.02831668602145702,-0.03398617480389474,0.19219174756380808,0.2584997772116271,60,ok,0.9999999999527024,0.9999999999054048
42,2021-04-14,2021-07-06,1,1,1,0.15479165044912888,low,calm,988,504,False,random,regime,0,504,0,10,False,1.2365991079477177,3.247735171553654,-0.05157650976093431,-0.013172231725537489,-0.020620043409196348,0.1675068447765667,0.13545767880632237,60,ok,0.51797536541366,0.500644255756307
42,2021-04-14,2021-07-06,1,1,1,0.15479165044912888,low,calm,988,504,False,random,mixed,0,252,0,10,False,0.6044484424250969,1.5267285758957807,-0.07302179598155067,-0.01971522388002693,-0.026729015181444344,0.11148446258826511,0.1844399865453872,60,ok,0.9999999483898239,0.9999998967796507
42,2021-04-14,2021-07-06,1,1,1,0.15479165044912888,low,calm,988,504,False,random,regime,5,504,5,60,False,0.6044484054436725,1.5267284865807182,-0.07302179842947187,-0.019715224653975502,-0.026729016088437484,0.11148445980362987,0.18443999322291027,60,ok,0.9999999998988953,0.9999999997977906
42,2021-04-14,2021-07-06,1,1,1,0.15479165044912888,low,calm,988,504,False,random,mixed,5,252,5,60,False,0.7646412197665945,1.931744297163953,-0.06603067019257025,-0.017342853095124885,-0.024180749776464328,0.1275543705824114,0.1668159749762734,60,ok,0.7564240974901814,0.6315066353799332
42,2021-07-07,2021-09-28,0,1,0,0.03194771520783583,low,calm,789,504,False,random,regime,0,504,0,10,False,-0.08840694786487739,-0.21980511300035313,-0.04511094123885595,-0.013042875000221879,-0.017354379487977075,-0.009915615536559022,0.11215878136313688,60,ok,0.9999999784286583,0.9999999568573171
42,2021-07-07,2021-09-28,0,1,0,0.03194771520783583,low,calm,789,504,False,random,mixed,0,252,0,10,False,-0.28630792237766883,-0.8457588290666437,-0.06615494563128677,-0.016390009521581525,-0.0218994226702694,-0.05595112935408457,0.1954229170098878,60,ok,0.9999999942309613,0.9999999884619226
42,2021-07-07,2021-09-28,0,1,0,0.03194771520783583,low,calm,789,504,False,random,regime,5,504,5,60,False,-0.24342650599470086,-0.716681023836745,-0.058457726610906424,-0.016278766502730444,-0.01915458186596908,-0.04189554335867295,0.17210756563866128,60,ok,0.8121145383985781,0.6948309696121036
42,2021-07-07,2021-09-28,0,1,0,0.03194771520783583,low,calm,789,504,False,random,mixed,5,252,5,60,False,0.09639780186431403,0.28681830596665886,-0.04334376098850223,-0.012258756486214877,-0.01695936344750153,0.012431784100945965,0.12896335663799144,60,ok,0.9999999977573676,0.9999999955147352
42,2021-09-29,2021-12-21,1,0,0,0.21923155304540623,low,calm,1104,504,False,random,regime,0,504,0,10,False,-0.07442748609118853,-0.1314990984486586,-0.12257571178613724,-0.021339761361634055,-0.027523424663327228,-0.016118595591579663,0.2165677821205887,60,ok,0.9999991291326036,0.9999982582661131
42,2021-09-29,2021-12-21,1,0,0,0.21923155304540623,low,calm,1104,504,False,random,mixed,0,252,0,10,False,-0.07442811207922302,-0.1315001873575039,-0.12257577423638766,-0.021339771560899737,-0.027523434898747784,-0.016118737277576078,0.21656786430937436,60,ok,0.999999850945975,0.9999997018919763
42,2021-09-29,2021-12-21,1,0,0,0.21923155304540623,low,calm,1104,504,False,random,regime,5,504,5,60,False,-0.07442824046012557,-0.13150041063309217,-0.12257578712204387,-0.02133977367600941,-0.0275234369606742,-0.01611876634022326,0.216567881231302,60,ok,0.9999999937194977,0.9999999874389953
42,2021-09-29,2021-12-21,1,0,0,0.21923155304540623,low,calm,1104,504,False,random,mixed,5,252,5,60,False,2.139158918062244,7.473008824460964,-0.040246994779122636,-0.011894710226418725,-0.018152785965513042,0.3007661471424178,0.14060018851468345,60,ok,0.9999999965002999,0.9999999930005998
42,2021-12-22,2022-03-15,2,2,1,0.017153246022826318,mid,crisis,243,243,False,random,regime,0,243,0,10,False,-3.989490277324185,-4.180858906812286,-0.05712478856737491,-0.008106905231343742,-0.0099652928593696,-0.23883068108167807,0.05986496130574998,60,ok,0.999999918927195,0.9999998378543984
42,2021-12-22,2022-03-15,2,2,1,0.017153246022826318,mid,crisis,243,243,False,random,mixed,0,252,0,10,False,-1.1376468588500293,-1.701254064488385,-0.12036781881327119,-0.016468801066422963,-0.02148603428320399,-0.2047762409896791,0.1799998298212449,60,ok,0.9999999968067348,0.9999999936134696
42,2021-12-22,2022-03-15,2,2,1,0.017153246022826318,mid,crisis,243,243,False,random,regime,5,243,5,60,False,-1.7004817164997157,-2.8833123384228614,-0.12878970256610334,-0.020099822987415493,-0.027285718683675454,-0.3713409384706562,0.21837396713387028,60,ok,0.9999999913040559,0.999999982608112
42,2021-12-22,2022-03-15,2,2,1,0.017153246022826318,mid,crisis,243,243,False,random,mixed,5,252,5,60,False,-1.7161275074196203,-2.8576125080921946,-0.14994516936053914,-0.024562200785416575,-0.029452659634807477,-0.42848519149267916,0.24968144245700727,60,ok,0.9999999997402275,0.9999999994804549
42,2022-03-16,2022-06-07,2,3,0,0.29141716057098827,mid,crisis,275,275,False,random,regime,0,275,0,10,False,-1.7515891352206827,-3.133863448632745,-0.011433597192580969,-0.0023595303998981145,-0.0027432130419194865,-0.035831332328219466,0.02045647098838911,60,ok,0.9999999016668902,0.9999998033337965
42,2022-03-16,2022-06-07,2,3,0,0.29141716057098827,mid,crisis,275,275,False,random,mixed,0,252,0,10,False,-0.8135957616198959,-1.169411369889253,-0.17351012112693387,-0.026699009702434183,-0.042081928387549455,-0.20290470843669794,0.24939253374760462,60,ok,0.9999997467456995,0.9999994934914721
42,2022-03-16,2022-06-07,2,3,0,0.29141716057098827,mid,crisis,275,275,False,random,regime,5,275,5,60,False,0.115377886283259,0.1931714302351902,-0.15653790096937092,-0.03083351723663864,-0.03783608654198989,0.030238650216267947,0.2620835862951278,60,ok,0.9999999999123068,0.9999999998246136
42,2022-03-16,2022-06-07,2,3,0,0.29141716057098827,mid,crisis,275,275,False,random,mixed,5,252,5,60,False,0.06083152453395433,0.09935977567998094,-0.16294709914703798,-0.030464895150335677,-0.0380834472618317,0.016190387218953307,0.2661512652032306,60,ok,0.8290187932884207,0.7165067325041132
42,2022-06-08,2022-08-30,2,2,1,0.1710428598580166,mid,crisis,335,335,False,random,regime,0,335,0,10,False,-0.9438944139695216,-1.997868410940412,-0.012570567343667016,-0.0034350754686408047,-0.004642596293596151,-0.025114339403511456,0.026607149096151344,60,ok,0.9999999866248572,0.9999999732497148
42,2022-06-08,2022-08-30,2,2,1,0.1710428598580166,mid,crisis,335,335,False,random,mixed,0,252,0,10,False,-0.7477283646657155,-1.750516187064897,-0.09423916206140481,-0.023539436851676428,-0.033036434940179805,-0.16496717864392127,0.2206244759989447,60,ok,0.8108110874602346,0.6932069413026716
42,2022-06-08,2022-08-30,2,2,1,0.1710428598580166,mid,crisis,335,335,False,random,regime,5,335,5,60,False,-1.081200601716329,-1.9247694508336135,-0.09367576885094786,-0.017494254474774696,-0.02621766318423859,-0.18030425816765544,0.16676300205663525,60,ok,0.7418145080355284,0.6169485111030784
42,2022-06-08,2022-08-30,2,2,1,0.1710428598580166,mid,crisis,335,335,False,random,mixed,5,252,5,60,False,-0.7558789416998657,-1.4761236163805749,-0.12792147929592557,-0.029854346647742593,-0.04027418147298683,-0.18882791663105447,0.2498123789589997,60,ok,0.9999999993962226,0.9999999987924453
