seed,test_start,test_end,predicted_regime,realized_dominant_regime,forecast_correct,forecast_brier,vol_bucket,bucket,n_available_regime,n_hist_regime,prefer_stress,ranking,method,n_synth_series,n_train,n_synth_rows,used_synth_fill,sharpe,calmar,max_drawdown,VaR_5%,CVaR_5%,ann_mu,ann_sd,n_obs,status,max_weight_used,hhi
42,2018-01-24,2018-04-17,0,3,0,0.8801698606540138,low,calm,627,504,True,stress,regime,1,525,21,False,-1.074017184274947,-1.895589753070979,-0.09372647257715272,-0.019951866432574458,-0.02625508027903681,-0.1776669410087388,0.16542281037028203,60,ok,0.29999999598639954,0.27999992641906224
42,2018-01-24,2018-04-17,0,3,0,0.8801698606540138,low,calm,627,504,True,stress,mixed,1,273,21,False,-1.0740178404099108,-1.8955905279345766,-0.09372646655530059,-0.0199518601336306,-0.02625507419097406,-0.1776670022190047,0.16542276630264927,60,ok,0.29999998268117967,0.27999989141482184
42,2018-01-24,2018-04-17,0,3,0,0.8801698606540138,low,calm,627,504,True,stress,regime,5,609,105,False,-1.2488777922022367,-2.074434749475482,-0.09149512864962794,-0.017972899333459354,-0.02454706482529063,-0.18980067427851793,0.15197697922374667,60,ok,0.29999997795598254,0.26489830030112976
42,2018-01-24,2018-04-17,0,3,0,0.8801698606540138,low,calm,627,504,True,stress,mixed,5,357,105,False,-0.6425886427259422,-1.2773591894035075,-0.09539075453741086,-0.02197641918637945,-0.03056850251062329,-0.12184825689249609,0.18962093132489924,60,ok,0.2999999971883745,0.279999994437132
42,2018-01-24,2018-04-17,0,3,0,0.8801698606540138,low,calm,627,504,True,stress,regime,20,924,420,False,-0.7111468264637618,-1.3940531114219212,-0.09454947119480361,-0.020890470353772696,-0.029538175137753777,-0.1318069845024133,0.18534426309379004,60,ok,0.29999998953121676,0.2799999559881979
42,2018-01-24,2018-04-17,0,3,0,0.8801698606540138,low,calm,627,504,True,stress,mixed,20,672,420,False,-1.2131993259242189,-2.0512742639130566,-0.09249247148080653,-0.01858615133998275,-0.02503869077239682,-0.18972742635429077,0.15638603014369123,60,ok,0.2999999836944283,0.27640875872979137
42,2018-04-18,2018-07-10,3,1,0,0.29472489662694085,high,calm,220,220,True,stress,regime,0,220,0,False,2.51801867996794,7.540958573252153,-0.021421282773037786,-0.0060155746783448275,-0.00847303411707036,0.16153700597739795,0.06415242558067707,60,ok,0.2999999974163202,0.27999998955849825
42,2018-04-18,2018-07-10,3,1,0,0.29472489662694085,high,calm,220,220,True,stress,mixed,0,252,0,False,1.8274558280742235,4.793341792627135,-0.03361924682183093,-0.008434028425995454,-0.011986088472206393,0.16114854082772917,0.08818190751978276,60,ok,0.29999980134151133,0.2799995530831913
42,2018-04-18,2018-07-10,3,1,0,0.29472489662694085,high,calm,220,220,True,stress,regime,1,241,21,False,2.3080111318765324,6.934022522615565,-0.02745233706201633,-0.007693167625423786,-0.010865066070811913,0.19035512348645522,0.08247582555275054,60,ok,0.2999999868234224,0.2799999051849224
42,2018-04-18,2018-07-10,3,1,0,0.29472489662694085,high,calm,220,220,True,stress,mixed,1,273,21,False,1.8274588368891596,4.793354253542822,-0.03361923033822445,-0.008434030504060963,-0.011986093541604292,0.16114888074256406,0.08818194833700553,60,ok,0.2999999986578772,0.2799999968306696
42,2018-04-18,2018-07-10,3,1,0,0.29472489662694085,high,calm,220,220,True,stress,regime,5,325,105,False,1.615622426128519,4.2132361070805135,-0.026978395834149183,-0.006475647763781177,-0.009590117554084865,0.11366635143954786,0.07035452690015209,60,ok,0.29999997421409297,0.27999993396567224
