seed,test_start,test_end,predicted_regime,realized_dominant_regime,forecast_correct,forecast_brier,vol_bucket,bucket,n_available_regime,n_hist_regime,prefer_stress,ranking,method,n_synth_series,n_train,n_synth_rows,used_synth_fill,sharpe,calmar,max_drawdown,VaR_5%,CVaR_5%,ann_mu,ann_sd,n_obs,status,max_weight_used,hhi
42,2018-04-18,2018-07-10,3,1,0,0.29472489662694085,high,calm,220,220,False,random,regime,5,325,105,False,1.662917947050188,4.32615329941476,-0.029927612140137727,-0.007070178205940145,-0.01057553047467031,0.12947143800366206,0.0778579834521171,60,ok,0.2999999778258836,0.27999971367170345
42,2018-04-18,2018-07-10,3,1,0,0.29472489662694085,high,calm,220,220,False,random,mixed,5,357,105,False,0.8564370806523399,1.7313467943270182,-0.04260536551653271,-0.008646109226194031,-0.01255766185333032,0.0737646630081798,0.08612969320757803,60,ok,0.29999999474823386,0.27999998292805994
42,2018-07-11,2018-10-02,0,0,1,0.09608839499438027,low,crisis,525,504,False,random,regime,0,504,0,False,0.810119203413424,3.2046239278585933,-0.017864418194181608,-0.006765349777958769,-0.009154965704046118,0.05724874200234678,0.07066705956497531,60,ok,0.2999999786018472,0.2799997199267467
42,2018-07-11,2018-10-02,0,0,1,0.09608839499438027,low,crisis,525,504,False,random,mixed,0,252,0,False,0.7612124245250826,2.6593202719564433,-0.020563057655545114,-0.0067502904721421664,-0.008788793272633325,0.054683756076800254,0.0718377082598425,60,ok,0.2999999980388208,0.27767558605783804
42,2018-07-11,2018-10-02,0,0,1,0.09608839499438027,low,crisis,525,504,False,random,regime,5,609,105,False,0.8101176108794194,3.2046141840246953,-0.017864445817664,-0.00676536266665054,-0.00915497039815252,0.057248656457026696,0.07066709288652631,60,ok,0.2999999961445394,0.27999981901356114
42,2018-07-11,2018-10-02,0,0,1,0.09608839499438027,low,crisis,525,504,False,random,mixed,5,357,105,False,0.4134654545929091,1.1916777985778404,-0.02546698597432917,-0.006300069120684411,-0.009797992327612824,0.030348441782301325,0.07340018723494536,60,ok,0.29999997166856673,0.27999910499254393
42,2018-10-03,2018-12-25,0,3,0,1.062047809120505,low,crisis,771,504,False,random,regime,0,504,0,False,-4.626064829320394,-4.521558742573476,-0.2030957144743638,-0.022310036864570636,-0.030496360366314163,-0.9183092033607663,0.1985076381853631,60,ok,0.29999997690042396,0.2799993704737635
42,2018-10-03,2018-12-25,0,3,0,1.062047809120505,low,crisis,771,504,False,random,mixed,0,252,0,False,-4.387965097221741,-4.513139996625792,-0.19773599641736617,-0.026090588656264863,-0.030459827477994833,-0.8924102342038696,0.20337678500881945,60,ok,0.2999999726583169,0.2799990401033422
42,2018-10-03,2018-12-25,0,3,0,1.062047809120505,low,crisis,771,504,False,random,regime,5,609,105,False,-4.626070735595436,-4.5215589828487825,-0.20309588181410632,-0.022309933034277897,-0.030496364253584235,-0.9183100087961671,0.19850755885123073,60,ok,0.29999999490493057,0.2799999832214353
42,2018-10-03,2018-12-25,0,3,0,1.062047809120505,low,crisis,771,504,False,random,mixed,5,357,105,False,-4.626070778719501,-4.521558986321593,-0.20309588358947406,-0.022309932487427526,-0.030496364405455983,-0.9183100175289106,0.19850755888847413,60,ok,0.2999999959718475,0.2799999899731449
42,2018-12-26,2019-03-19,3,4,0,0.29152077112285313,high,crisis,189,189,False,random,regime,0,189,0,False,8.035075845703458,59.090762769682165,-0.0023875996576910863,-0.0008770942248642685,-0.0012845167237667372,0.14108508496159833,0.01755865005767678,60,ok,0.2999999993116709,0.2799999980679562
