bucket,sharpe,calmar,max_drawdown,VaR_5%,CVaR_5%,ann_mu,ann_sd,n_obs,method,n_synth_series,predicted_regime,vol_bucket,test_start
SLOW_BLEED,-0.9882812262307298,-1.7992401824385869,-0.34678662663599524,-0.054668592238475776,-0.09693021405871623,-0.6239524333758102,0.6313510940155598,60,mixed,0,0,low,2020-02-19
CRASH_2008,-1.5292280789312922,-5.7733767241234535,-0.9801639081498337,-0.37296164134561544,-0.5137990196360024,-5.6588554931381285,3.700465333524902,60,mixed,0,0,low,2020-02-19
BASE,4.030987402468865,13.83078841519682,-0.005372176679575902,-0.001320413483291058,-0.0030796493281537904,0.0743014389842689,0.01843256541530281,60,regime,0,1,low,2020-05-13
REGIME_VOL,4.030987402468865,13.835074027449657,-0.015641751089288003,-0.0038457370256137777,-0.008969555065181779,0.21640478423924084,0.05368530402915651,60,regime,0,1,low,2020-05-13
VOL_SCALE_1.8x,4.030987402468864,13.832579938762775,-0.009668665625918393,-0.0023767442699239045,-0.0055433687906768225,0.133742590171684,0.033178617747545054,60,regime,0,1,low,2020-05-13
NEG_SHOCK_-10%,-1.727762438402994,-3.4937544640624103,-0.0989475833438408,-0.001769115009637353,-0.03509712697824384,-0.34569856101573115,0.200084544803085,60,regime,0,1,low,2020-05-13
CORR_INFLATE_1.3,3.9992965893049868,11.905746214712503,-0.015000871328354148,-0.003474215598171906,-0.006848423614590049,0.1785965670349417,0.04465699481067467,60,regime,0,1,low,2020-05-13
WHIPSAW,-1.6289332518675639,-1.5095623187169303,-0.09143146246715184,-0.011048453275394431,-0.01893299474475054,-0.1380214904855937,0.0847312130974997,60,regime,0,1,low,2020-05-13
SLOW_BLEED,-2.838830167628703,-3.0463058144495467,-0.030503840468926735,-0.002730333474957507,-0.004296886291065082,-0.0929240265835329,0.03273321089903489,60,regime,0,1,low,2020-05-13
CRASH_2008,-1.4977420680832834,-5.500723951143327,-0.978735596181907,-0.37142941051452105,-0.49796009860772766,-5.383754335754358,3.594580435764985,60,regime,0,1,low,2020-05-13
BASE,7.461785519059048,37.95666261901968,-0.003822217570521813,-0.0013681893410271001,-0.002010957064957256,0.14507862278078554,0.019442882994991306,60,mixed,0,1,low,2020-05-13
REGIME_VOL,7.461785519059047,38.02897206696047,-0.011111136190425142,-0.003984885396446836,-0.005856962337547577,0.42254508781787126,0.0566278790429714,60,mixed,0,1,low,2020-05-13
VOL_SCALE_1.8x,7.461785519059049,37.98687602936378,-0.0068745195262582826,-0.0024627408138487806,-0.0036197227169230614,0.261141521005414,0.034997189390984354,60,mixed,0,1,low,2020-05-13
NEG_SHOCK_-10%,-1.389262201893064,-2.8396039329003955,-0.0968168039330779,-0.0016404434059103777,-0.033612982263250595,-0.2749213772192145,0.19789020160815984,60,mixed,0,1,low,2020-05-13
CORR_INFLATE_1.3,7.50945855661503,32.5792560337596,-0.00715303487376262,-0.0018308680741643062,-0.0042080728491931665,0.2330405545707237,0.03103293703717692,60,mixed,0,1,low,2020-05-13
WHIPSAW,-0.876414190952947,-0.82296236998811,-0.08171006250267387,-0.012357203908518563,-0.01638231653060928,-0.06724430668907709,0.07672662923903671,60,mixed,0,1,low,2020-05-13
SLOW_BLEED,-0.6363512047835711,-1.2553937593253035,-0.01764135166556735,-0.0025392662317860293,-0.003353216349824071,-0.022146842787016303,0.03480286140818835,60,mixed,0,1,low,2020-05-13
CRASH_2008,-1.4813388501493605,-5.43999033949035,-0.9784152663883954,-0.3705758110501182,-0.4979492289695518,-5.322569597162748,3.5930804060300483,60,mixed,0,1,low,2020-05-13
